architecture	rnn	run	known_vocab_used	unigram_entropy	bigram_entropy
mao		1	0.0624494200162	5.8030497235	7.73819145689
vinyals		1	0.0596169409226	5.87606976933	7.86894825952
merge_concat	srnn	1	0.062584299973	5.68499872203	7.50736250045
merge_add	srnn	1	0.0615052603183	5.68371673811	7.4779406902
merge_mult	srnn	1	0.0486916644187	5.46260647696	7.1445637296
inject_post	srnn	1	0.0608308605341	5.78411443826	7.71891223707
inject_par	srnn	1	0.0482870245482	5.50150310842	7.2755481385
inject_pre	srnn	1	0.0335851092528	5.39756429594	7.10660395838
inject_init	srnn	1	0.034259509037	5.36576858816	7.00469179037
langmodel	srnn	1	0.00121391961155	3.16992500144	3.0
merge_concat	lstm	1	0.0654167790666	5.7532749573	7.72274202895
merge_add	lstm	1	0.0632586997572	5.74732204455	7.66520714551
merge_mult	lstm	1	0.0590774210952	5.68862103601	7.54619791
inject_post	lstm	1	0.0608308605341	5.86813640807	7.81047913539
inject_par	lstm	1	0.0588076611815	5.80398174477	7.6837974684
inject_pre	lstm	1	0.0558403021311	5.83348459084	7.83789161369
inject_init	lstm	1	0.0553007823037	5.84369463932	7.79687857375
langmodel	lstm	1	0.00121391961155	3.16992500144	3.0
mao		2	0.062584299973	5.83606630549	7.83272442955
vinyals		2	0.0485567844618	5.71900768781	7.53979030493
merge_concat	srnn	2	0.0704073374697	5.86268909682	7.80616394011
merge_add	srnn	2	0.0594820609657	5.56765885185	7.2572324967
merge_mult	srnn	2	0.0535473428649	5.63972295797	7.39620614551
inject_post	srnn	2	0.049231184246	5.56533154957	7.30388237175
inject_par	srnn	2	0.060965740491	5.76089270409	7.578888876
inject_pre	srnn	2	0.0331804693822	5.37501892635	6.925461108
inject_init	srnn	2	0.0369571081737	5.47372542328	7.21366345566
langmodel	srnn	2	0.00121391961155	3.16992500144	3.0
merge_concat	lstm	2	0.0662260588077	5.78464909622	7.71670883153
merge_add	lstm	2	0.0629889398435	5.74137141618	7.5822582454
merge_mult	lstm	2	0.0538171027785	5.53343177301	7.35449943599
inject_post	lstm	2	0.0643377394119	5.99843707812	7.95269736917
inject_par	lstm	2	0.0566495818721	5.81162500674	7.73212274109
inject_pre	lstm	2	0.0519287833828	5.66081529291	7.62383127385
inject_init	lstm	2	0.0535473428649	5.80658885175	7.71417909409
langmodel	lstm	2	0.00134879956838	3.32192809489	3.16992500144
mao		3	0.065147019153	5.80529066138	7.69175441845
vinyals		3	0.051793903426	5.76502675819	7.65704563333
merge_concat	srnn	3	0.0637982195846	5.71886822885	7.47456329107
merge_add	srnn	3	0.056784461829	5.62309467712	7.46195205979
merge_mult	srnn	3	0.0594820609657	5.59793838222	7.38140050945
inject_post	srnn	3	0.0477475047208	5.58871044585	7.37330822921
inject_par	srnn	3	0.0628540598867	5.90300162371	7.78889766219
inject_pre	srnn	3	0.0304828702455	5.40000105806	6.87836964293
inject_init	srnn	3	0.0321014297275	5.39997163492	7.05828308305
langmodel	srnn	3	0.00121391961155	3.12192809489	3.16992500144
merge_concat	lstm	3	0.0579983814405	5.65049609663	7.4199505289
merge_add	lstm	3	0.0606959805773	5.7199044144	7.61349101798
merge_mult	lstm	3	0.058403021311	5.55191984915	7.30578071551
inject_post	lstm	3	0.0598867008363	5.9268151825	7.91914701094
inject_par	lstm	3	0.058403021311	5.8808060459	7.85130316598
inject_pre	lstm	3	0.0524683032101	5.80914601656	7.60387773433
inject_init	lstm	3	0.0573239816563	5.74432986779	7.663085027
langmodel	lstm	3	0.000944159697869	2.75	2.80735492206
human-one		1	0.325195575937	8.10906348284	11.8456740025
human-all		1	0.567709738333	8.21011230789	12.4275394836
