architecture	rnn	run	pplx_geomean	pplx_artmean	pplx_median	prob_geomean	prob_artmean	prob_median
mao		1	19.4149006593	42.050761177	16.8767881398	3.94880958129e-18	2.68472975152e-06	6.31083937586e-16
vinyals		1	18.4645423106	36.7311133396	16.2382000337	8.69970404373e-18	2.82395620278e-06	1.13821661437e-15
merge_concat	srnn	1	21.009854648	51.0630078027	17.9032259335	1.3321169502e-18	1.1781062473e-06	2.42041605575e-16
merge_add	srnn	1	20.7791680983	44.4297648929	17.8451141213	1.49199936181e-18	2.18510971429e-06	3.35274919694e-16
merge_mult	srnn	1	22.0411396508	52.5569192785	18.9408505389	7.08118775444e-19	1.29060827441e-06	1.38757173897e-16
inject_post	srnn	1	21.677154505	167.018228263	17.8595838059	9.12336559675e-19	2.28255815081e-06	2.23156759265e-16
inject_par	srnn	1	22.0914415847	53.7202289763	18.8608300613	6.73278712175e-19	1.55192535076e-06	1.26855142427e-16
inject_pre	srnn	1	24.4840591296	120.556559985	20.7006984713	2.04895743645e-19	1.12976478828e-06	4.33921912088e-17
inject_init	srnn	1	23.8101892873	61.8998709554	20.4957560951	2.65843588453e-19	1.55490266217e-06	6.39466106407e-17
langmodel	srnn	1	28.9053446267	85.987722163	24.3455987778	2.85528051703e-20	1.6460460739e-08	6.50737988147e-18
merge_concat	lstm	1	18.747747333	41.4804393468	16.4363325493	6.98212585213e-18	1.9753271605e-06	1.11638445573e-15
merge_add	lstm	1	19.0239273413	38.4089891129	16.6575310832	5.68578364696e-18	1.26554560507e-06	8.6464057582e-16
merge_mult	lstm	1	22.6194785207	89.1932033232	18.9377968169	3.65837268001e-19	1.0501042992e-06	1.26612761724e-16
inject_post	lstm	1	18.8147185399	43.630264114	16.149437381	6.50895229561e-18	2.23723696271e-06	1.12862009231e-15
inject_par	lstm	1	19.2022894996	42.6936658269	16.6698872531	4.58079353744e-18	2.17922420957e-06	8.13595881126e-16
inject_pre	lstm	1	19.2425771477	50.865780599	16.4347751328	4.68576555293e-18	4.11044353765e-06	8.74451920054e-16
inject_init	lstm	1	18.9797848608	44.0732127091	16.3606646342	5.53196279134e-18	2.72346724931e-06	1.02520422154e-15
langmodel	lstm	1	24.5980932377	54.624093791	20.8002438457	2.5279786448e-19	2.59072565853e-08	3.99730420349e-17
mao		2	19.3450632136	38.7310969146	16.9911503355	4.20559450221e-18	3.43000065567e-06	6.73486954151e-16
vinyals		2	18.3206946685	36.3212907931	15.8701797399	9.30015842109e-18	2.71144875527e-06	1.13890376994e-15
merge_concat	srnn	2	21.0389739489	51.1233942811	18.0792608849	1.3550434321e-18	1.23019843425e-06	2.66464527365e-16
merge_add	srnn	2	20.8456573548	42.7253032009	18.2128393962	1.65526878931e-18	9.20516112452e-07	2.89466101723e-16
merge_mult	srnn	2	22.313535848	52.3300263824	19.2760159062	6.2110995552e-19	1.71715714868e-06	1.17123595468e-16
inject_post	srnn	2	21.7468198026	66.930939616	18.6675132199	8.49160283443e-19	1.45653596021e-06	1.62332900007e-16
inject_par	srnn	2	21.7818109835	69.1758413861	18.4820297789	7.47824216296e-19	2.1144373141e-06	1.85780577915e-16
inject_pre	srnn	2	23.8074888118	74.7710093473	20.1212828835	2.54013128385e-19	6.79522891663e-07	5.8156153738e-17
inject_init	srnn	2	24.1266172361	87.7284319359	20.0361844455	2.30483241109e-19	2.00621820668e-06	5.36230248895e-17
langmodel	srnn	2	28.7163687647	85.8259815457	24.1794744829	2.94727925362e-20	1.48161942424e-08	9.55619072224e-18
merge_concat	lstm	2	18.7829128064	42.0990982462	16.1918680503	6.79391766149e-18	1.50555640587e-06	1.29194239594e-15
merge_add	lstm	2	18.9018919728	39.3155294535	16.5443786007	6.09673758726e-18	1.01925285409e-06	1.02665877342e-15
merge_mult	lstm	2	24.727412994	96.5859674959	20.9213523475	7.64010623374e-20	2.63077193652e-06	6.71928803473e-17
